speakerGroups,Speaker,text,pageNumbers
0,NA,"House of Representatives. Thursday, IS March, 1936.",9
1,Mr SPEAKER ,"Eon. 0. J. Bell) took the chair at 2.30 p.m., and read prayers. MOTION"" OF CENSURE. GOVERNMENT AND COMMONWEALTH BAN X - ISSUE OT TREASURY-BILLS-INTERES T RATE-OVERSEA S TRADE BALANCE. Debate resumed from the l l t h March (vide page 59), on motion by Mr. CURTINThat the Government is deserving of censure for(a) Failing to take action to safeguard Australia's oversea funds by checking the increasing flow of unnecessary imports, thus leaving it to the Commonwealth Bank Board exclusively to direct national monetary - policy in a manner gravely affecting &he economic conditions of Australia. (6) Disclaiming all responsibility for the course now taken, which .prejudices the employment of the people and increases ihe difficirl-bies of trade and commerce generally.",9
2,Mr ARCHIE CAMERON ,"Barker) [2.30] - I do not know whether or not the action of the Opposition in bringing forward this motion of censure was due to a misreading of scripture. I would point out to them, however, that when the prodigal son returned to his father a calf was slaughtered to celebrate his homecoming. The attempt on this occasion, apparently, is to slaughter a lion. Possibly honourable members opposite are hunting the more ferocious animal oil account of the fact that eight prodigals have returned to their father. The Opposition could have launched Beveral motions that might have caused the Goverument some embarrassment, or if not the Government, at all events some of its supporters. Por example, had it been proposed to censure the Government for failure to restore - within Australia the system of compulsory military training, which is necessary for the defence of this country, and is one of the outstanding planks in the platform of the Labour party, I , and probably quite a number of other honourable members on this side, whether wo liked it or not, on account of our principles, would have been obliged to cross the floor and assist in the defeat of the Government. That matter must be discussed before very long. All the talk about brighter uniforms will not overcome the difficulty with which we are faced. I shall not at this stage debate the matter further than to suggest that, if certain statements which have appeared in the press lately are to be regarded seriously, I shall expect an order to be issued recalling the existing army 'boots and replacing them with dancing shoes. MONICA",9
3,Mr ARCHDALE PARKHILL ,It would be a silly thing of that sort which the honourable member would think of.,10
4,Mr ARCHIE CAMERON ,"The'nex t point with which I wish to deal is the very definite expression by the Opposition of what amounts to a lack of confidence in the Commonwealth Bank Board. My personal view is that the Government should test the feeling of the House on this matter. It should move an amendment to the motion designed to discover whether honourable members opposite are prepared to state by their votes whether they have or have not confidence in the management of the financial situation by the Commonwealth Bank Board. believe that that would place some of my friends opposite in a somewhat awkward position. They are the political representatives of quite a body of people who are part owners of savings bank deposits, amounting to £130,000,000, which have been entrusted to the care the directors of the Commonwealth Bank. Yesterday's debate left well in the air the position in regard to the board. The motion of censure consists of a concatenation of suggestions, conjectures, suppositions and prophecies. Time after time those occurred throughout the speech of the Leader of the Opposition ( Mr. Curtin). I would recall to honourable members certain prophecies made during the last period of this session. Night after night, on the motion for the adjournment of this chamber, honourable gentlemen on the left of the Chair rose in their places and announced that a terrific war would be on our doorstep before the House next met. That state of affairs., however, to which apparently they looked forward with some gusto, has fortunately not yet materialized. I trust that honourable members opposite will ho just as much astray in their prognostications with respect to the trade position. This is not the first occasion upon which I have heard a similar motion debated in this House. The last onslaught was led by our friend from Capricornia NA there is little difference between what was said about twelve months ago and what was said on this motion by the Leader of the Opposition. To my mind, the attitude of the Labour party is inexplicable. We find that party, whioh prides itself on representing the underdog and on taking up the cudgels against the great vested interests, criticizing the action of the Commonwealth Bank Board in making available to the general investing public £1,000,000 worth of treasury bills on the same terms and. conditions as were enjoyed as a monopoly for some years hy the private hanking institutions of Australia. The situation is most interesting, and we are entitled to a clear pronouncement of policy upon it hy lionorable members of the Opposition. They are not in the happy position of I being able to censure the Government unless they can advance a fairly concrete proposal. The House listened last night to quite a disquisition in regard to experiments and the increased rate of interest. This Government cannot he charged with of having freely indulged in experimental legislation. Hitherto, that has been the particular monopoly of our friends opposite. The Labour party has .been a reservoir from which has flowed stream after stream of experimental legislation, most of which has ended in the marsh to which Robert Burns consigned the whole of the Stuart family. If honourable members opposite had the power to work their will with the Commonwealth Bank, along the lines advocated last night by the honourable member for Griffith ( Mr. Baker), I am afraid that that institution would find itself in such a marsh. The concern for interest rates is not the special monopoly of the Opposition. It is the concern of every member of the House who represent electorates in which primary and secondary industries are conducted. Let us consider for a moment the history of the Opposition when it was in power. To which party belonged the Ministry that first went on the New York loan market, and paid the highest rate of interest ever required of an Australian government? That Ministry was not constituted from this side of the House. In all my political experience I have heard only one Labour man-and he was well kicked for his pains-advocat e a reduction of the rate of interest before it was brought about some years ago. I refer to the Honourable Thomas Butterfield. When he came out into the open, he said that the rates then being charged could not be maintained, as they were no longer the true rates, because the borrowers were paying an insurance against risk. He contended that the risk of lending money was so great that the lender was asking for something in addition to the real rate in order to insure himself against the risk taken. On that occasion Mr Butterfield was taken seriously to task by men who were considered to be financial experts in the party of which he was rather a distinguished member. Let us consider the interest rates that have been charged during the last few years, and let us view the matter from the broad aspect. I am not at all satisfied that the rates of interest that have prevailed in recent years are the proper ones. Certain important factors were brought into calculation in fixing the rates, and one was the fact that the lender - for instance the holder of Government bonds when the Premiers plan was instituted in 1931-wa s so chary about being able to secure his capital that he was prepared to accept a big reduction of interest, if he could see his principal safe. Another factor considered was that on account of the fall of prices it was no longer possible to make a profit by the investment of money in primary industries, or ordinary manufacturing and trading concerns. There was also extra heavy taxation on account of the general depression. The whole of these factors, and perhaps some others, were a contributing cause of the considerable reduction of the rate of interest, not because people thought that the rate would remain down indefinitely, but because they had an immediate objective in view-the safeguarding of their capital rather than securing for a short time a doubtful, though high, rate of interest. The Leader of the Opposition was good enough to suggest one or two directions in which he thought improvements might be made. First, he said that something might be done by way of a bounty to assist sales overseas.",10
5,Mr CURTIN ,I did not advocate those things.,11
6,Mr ARCHIE CAMERON ,"That is just the trouble. The honourable member did not advocate anything. He put forward a destructive argument of a weak kind, but we could see his natural common sense oozing through his contentions. This was noticeable in his references to bank deposits and economic anarchy. One had no difficulty, however, in recognizing the low tariffist. In this Parliament we witness the anomaly of the high tariff party led by one who, so far as my knowledge of him goes, is definitely a low-tariff man. That probably explains the interesting announcement in the COMberra 'Times this week that the forthcoming tariff debate will be led from the Opposition side by its Deputy Leader, the lionorable member for Capricornia ( Mr. Forde), instead of by its Leader ( Mr. Curtin).",11
7,Mr CURTIN ,"The honourable member, too, is good at suppositions.",11
8,Mr ARCHIE CAMERON ,"I am dealing with a question that the honourable gentleman must answer in this House before he is a month older. He' said something about bounties. I would not accuse him or his party, under present conditions, of being foolish enough to advocate anything. Not even the Opposition desires a motion like that now before the House to be carried, after the experience in both the State and Federal spheres of Labour in power in bad times. Does the Opposition wish to split once more the party that was re-united last week? Every honourable member opposite knows that the last thing he desires is the responsibility of office in the monwealth sphere.",11
9,Mr BAKER ,We thought that good times were back again.,12
