Speaker,Text,pageNumbers
NA,"Thursday, 26th October, 1961.",11
Mr SPEAKER ,Hon. John MCLeay) took,11
NA,"the chair at 10.30 a.m., and read prayers.",11
NA,CONTRACTORS FOR WEAPONS,11
NA,RESEARCH.,11
Mr MAKIN , I wish to direct a question,11
NA,to the Minister for Supply. Can he tell,11
NA,me whether it is a fact that certain private,11
NA,firms which have branches in the Weapons,11
NA,Research Establishment at Elizabeth in,11
NA,South Australia propose merging into a,11
NA,single business enterprise to be known as the,11
NA,Hawker Siddeley Group? What is the pur-,11
NA,pose of this merger?,11
Mr HULME , I cannot give the honor-,11
NA,able gentleman any precise information. He,11
NA,will appreciate that many of the contractors,11
NA,for the Weapons Research Establishment are,11
NA,contractors from the United Kingdom.,11
NA,There have been amalgamations in the Old,11
NA,Country. I shall find out what I can and,11
NA,let the honorable member have any avail-,11
NA,able information as soon as possible.,11
NA,BEEF-CATTLE ROADS.,11
NA,NA,11
NA,Treasurer in order to clear up some con-,11
NA,fusion which seems to exist. Will the right,11
NA,honorable gentleman state the position in,11
NA,regard to the selection of roads and the,11
NA,priority given in determining which roads,11
NA,"shall be built with the £5,000,000, out of a",11
NA,"total expenditure of £5,350,000, to be pro-",11
NA,vided by this Government for beef-cattle,11
NA,"roads in Queensland? In particular, will he",11
NA,state the position concerning the flexibility,11
NA,"of the scheme and whether other roads,",11
NA,although not actually included in this,11
NA,"scheme, will be considered if a case for their",11
NA,construction is submitted?,11
Mr HAROLD HOLT , I was not aware,11
NA,that any confusion on this matter existed.,11
NA,It certainly does not exist in the minds of,11
NA,members of the Queensland Government.,11
NA,"The Prime Minister has been in communicabody,",11
NA,"tion with the Premier of Queensland, and",11
NA,"for some time discussions between reprepassed,",11
NA,sentatives of the Commonwealth and the,11
NA,State Government about road construction,11
NA,in Queensland have been going on with the,11
NA,object of promoting beef production for,11
NA,"export from that State. Some time ago, the",11
NA,Queensland Government submitted to us a,11
NA,priority list of roads as they were viewed,11
NA,"by that Government. Subsequently, there",11
NA,was worked out an arrangement under which,11
